severity,magnitude_index,failure_locus,facility_des,facility_loc,latitude,longditude,accuracy,google_place_id,country,type,ore_type,dam_type,dam_fill_material,dam_height,storage_vol,ICOLD_type,ICOLD_key,ICOLD_cause,incident_year,indident_date,release_volume,runout_distance,deaths,sources,notes
3,0,1,"Zangezur Copper Molybdenum Combine, Armenia","Zangezur Combine, Armenia",39.1517342,46.1493699,GEOMETRIC_CENTER,ChIJEWfHUFdpFkARa8YyDZ9xY5c,AM,"establishment,point_of_interest","Cu,Mo",,,53.6,31000000,2,A,U,2013,15-Nov-2013,,,,"WISE, Green Program","Cronimet Mining AG. Tailings pipeline damage, tailings flowing into Norashenik River for several days (http://www.thegreenprogram.org/slopedoc2.html)"
2,0.353253864,2,"Obed Mountain Coal Mine Alberta, Canada (Sherritt International)","Obed Mountain Coal Mine, Alberta, Canada",53.55,-117.233333,APPROXIMATE,ChIJGzZScwNlnFMRuaXrA4RoR9Y,CA,"locality,political",Coal,,,,,1,B,U,2013,31-Oct-2013,670000,,,"WISE; Caldwell, 2014","""Sherritt International. Breach of wall in containment pond. Plume of slurry containing fine coal particles, clay and heavy metals into the Apetowun und Plate creeks and eventually the Athabasca River. $52.2 million Set aside by Sheritt for cleanup (2013 Annual Report)"".  Tailings Facility Failures in 2013/2014, Caldwell, 4Nov14 undocumented description of plume 113 miles away"
,,1,"Casa Berardi Mine, La Sarre, Abitibi region, Quebec (Hecla Mining Company)","Casa Berardi Mine, La Sarre, Abitibi region, Quebec",49.5732658,-79.2932223,GEOMETRIC_CENTER,ChIJpTF4nDemGE0RuFlHrZ7821s,CA,"establishment,point_of_interest",Au,,,,,1,B,OT,2013,13-May-2013,57000,,,Caldwell 2014,"Breach of an internal tailings dyke which resulted in a surge of liquids and suspended solids over the external tailings dyke. Tailings Facility Failures in 2013/2014, Caldwell, 4Nov14"
2,0.052724457,1,Gullbridge Mine Newfoundland,"Gullbridge Mine, Newfoundland",49.2019949,-56.153666,APPROXIMATE,ChIJS02fLUNfd0sRFOmjmhyCKeU,CA,"locality,political",Cu,DS,E,7,,1,B,SI,2012,17-Dec-2012,100000,,,"WISE, Caldwell 2013","At 7:45 am on Monday December 17, the tailings dam at the former Gullbridge copper mine, central Newfoundland failed while work was under way to stabilize it. The failure resulted in a breach of the 7 m high dam approximately 25 m wide. The dam was impounding mine tailings that were partially covered by water forming a tailings pond."
2,0.126538697,1,"Sotkamo, Kainuu Province, Finland (Talvivaara)","Sotkamo, Kainuu Province, Finland",64.1306547,28.3904978,APPROXIMATE,ChIJOQZqLK7ogkYRIMB1PNZGAQQ,FI,"locality,political","Ni,U",,,,,1,A,SE,2012,04-Nov-2012,240000,,,WISE,"Talvivaara Mining Company Plc  Leak from gypsum pond through a ""funnel-shaped hole."" Nickel and zinc concentrations in nearby Snow River exceeded the values that are harmful to organisms tenfold or even a hundredfold, uranium concentrations more than tenfold. Heap-leach operation; leakage form gypsum pond also occured in 8 April 2013 (4th leak since 2008); after restarting operations, the gypsum leaked again on 21 May 2013"
1,6.854179441,1,"Padcal No 3, Benquet Philippines (Philex)","Benquet, Philippines",16.5577257,120.8039474,APPROXIMATE,ChIJ26IUCuq7kTMRwQ4qL7ft9Dw,PH,"administrative_area_level_2,political","Au,Cu",US,,,102000000,1,A,OT,2012,02-Aug-2012,13000000,,,NASSA & CCCP,"20.6 million tonnes released due to heavy rains.  The Balog and Agno River are heavily polluted. ""CSOs release results of independent investigation on Philex's tailings spill,"" NASSA & CCCP press release, 2 October 2012"
,,1,"Hudson Bay (HB) Mine, Salmo, British Columbia (Regional District of Central Kootenay & Teck)","Hudson Bay (HB) Mine, Salmo, British Columbia",49.152148,-117.2007802,GEOMETRIC_CENTER,ChIJ83s7Jak-Y1MR2TIdCkG5_kc,CA,"establishment,point_of_interest","Pb,Zn",,,,1800000,1,B,SE,2012,11-Jul-2012,,,,"Nelson Star, 9Jul12","A sinkhole in the dam at the  the HB mine site south of Salmo has been determined as the primary cause of the slough that threatened the stability of the tailings pond last week.  Heavy rainfall throughout the month of June was a contributing factor to some seepage and the initial slough. The Regional District of Central Kootenay purchased the six-hectare tailings area in 1998 as part of their central landfill area. ""Sinkhole to blame for slough at mine site near Salmo,"" Nelson Star, 9Jul12."
,,1,Johson Gold Mining Corporation at Baranggay Bangong-Bayan,"Baranggay, Bangong-Bayan",14.840376,120.8346345,APPROXIMATE,ChIJTVDP27JTljMRabDLk9Iq648,PH,"neighborhood,political",Au,,,,,1,A,ER,2012,13-Apr-2012,,,,"Mambulaoans Worldwide Buzz, 2012",Cyanide-laden mine tailings destroyed 10 houses. (http://mambulaoansworldwidebuzz.blogspot.com/2012/04/friday-13th-disaster-gold-miners_21.html)
,,1,"Mineracao Serra Grande Tailings Dam  ,State of Goias Brazil, (Anglo Ashanti)","Mineracao Serra Grande,Goias, Brazil",-14.5755717,-49.96727,GEOMETRIC_CENTER,ChIJmdqbW9B-QpMRaVpudboIbro,BR,"establishment,point_of_interest",Au,CL,,,,,,OT,2012,,900,,,/C:/Users/Lindsay/Downloads/AGA-OP12-bra-serra-grande.pdf,
3,0.005272446,1,"Mianyang City, Songpan County, Sichuan Province, China","Mianyang City, Songpan County, Sichuan Province, China",32.655325,103.604698,APPROXIMATE,ChIJ88eLguRe9zYRtCUrvE5AhxE,CN,"political,sublocality,sublocality_level_1",Mn,,,,,1,A,OT,2011,21-Jul-2011,10000,,,"Future Directions Intl., WISE","Heavy rain on July 20 led the managers of the electrolytic manganese metal plant to release water from its tailing dams into the Fujiang River, which provides drinking water to Sichuan’s second largest city - (http://www.futuredirections.org.au/publications/food-and-water-crises/28-global-food-and-water-crises-swa/176-chinese-city-of-4-million-left-dry-as-pollution-contaminates-water.html)"
2,0.105448914,1,"Bloom Lake, Triangle Tailings Pond, Quebec, Canada (Cleveland Cliffs)","Bloom Lake, Triangle Tailings Pond, Quebec, Canada",52.9399159,-73.5491361,APPROXIMATE,ChIJoajRnzS1WEwRIABNrq0MBAE,CA,"administrative_area_level_1,political",Fe,,,,,1,A,U,2011,01-May-2011,200000,,,Gov't of Canada Press Release 12/22/14,"Triangle Tailings dam breached  and released 200,000ms over 7 days until repaired"
