company_name,managing_company,business_unit,country,operation,latitude,longditude,status,start_date,operation_status_as_designed,raising_method,current_maximum,current_tailings,planned_tailings,last_review,full_records_available,failure_hazard,previous_instability,failure_impact_assessment
Anglo American,De Beers Group of Companies,De Beers,South Africa,Namaqualand,-29.5866,17.041478,,1975,No,Dry stack,34,2.6,2.6,2013,No,Low,No,
Anglo American,De Beers Group of Companies,De Beers,South Africa,Namaqualand,-29.45615,17.001442,,1980,No,Downstream,8.5,23,23,2013,,Moderate,Yes,
Anglo American,De Beers Group of Companies,De Beers,South Africa,Namaqualand,-29.452642,17.021789,,1980,No,Dry stack,66,16,16,2013,No,Low,No,
Anglo American,De Beers Group of Companies,De Beers,South Africa,Oaks,-22.956047,28.311392,,1998,Yes,Downstream,20,0.5,0.5,2013,No,Low,No,
Anglo American,De Beers Group of Companies,De Beers,South Africa,Oaks,-22.955883,28.312397,more information,1998,Yes,Downstream,20,1.04,1.04,2013,No,Low,No,information
Anglo American,Anglo Coal,Coal Aus,Australia,Moranbah North,-21.872,147.948,Active,1998,Yes,Upstream,34,,,2013,Yes,High,Yes,"Yes, 2019"
Anglo American,Anglo Coal,Coal Aus,Australia,CapCoal,-22.922,148.57,Active,2013,Yes,Other,14,,,2018,Yes,High,No,
Anglo American,Anglo Coal,Coal Aus,Australia,CapCoal,-22.962,148.552,Inactive,2005,No,Other,30,30,,2018,No,High,No,"Yes, CCS completed"
Anglo American,Anglo Coal,Coal Aus,Australia,CapCoal,-22.95,148.566,Inactive,2005,No,Other,34,550,,2018,No,High,No,"Yes, CCS completed"
Anglo American,Anglo Coal,Coal Aus,Australia,CapCoal,-22.888,148.566,Inactive,2009,No,Other,22,695,,2018,No,High,No,"Yes, CCS completed"
Anglo American,Anglo Coal,Coal Aus,Australia,CapCoal,-22.888,148.566,Inactive,2009,No,Other,34,3204,,2018,No,High,No,"Yes, CCS completed"
Anglo American,Anglo Coal,Coal Aus,Australia,CapCoal,-22.965,148.56,,2019,Yes,Other,,0,,2019,No,High,No,"Yes, CCS completed"
Anglo American,Anglo Coal,Coal Aus,Australia,Dawson,-24.563,150.051,Active,2015,Yes,Other,,710,,,Yes,Moderate,No,CCA as well as CCS
Anglo American,Anglo Coal,Coal Aus,Australia,Dawson,-24.5,179.604,Inactive,2011,No,Other,,1800,,2018,No,Low,No,CCA as well as CCS
Anglo American,Anglo Coal,Coal Aus,Australia,Dawson,-24.55,150.038,Inactive,2003,No,Other,,,2111,2018,No,Moderate,No,"Yes, REMP 2018/2019.
CCA as well as CCS
completed"
Anglo American,Anglo Coal,Coal Aus,Australia,Dawson,-24.55,150.038,Inactive,2010,No,Other,,,121,2018,No,Moderate,No,CCA as well as CCS
Anglo American,Anglo Coal,Coal Aus,Australia,Dawson,-24.557,150.059,Inactive,1995,No,Other,,,1070,2018,No,Moderate,No,CCA as well as CCS
Anglo American,Anglo Coal,Coal Aus,Australia,Dawson,-24.556,150.055,Inactive,2002,No,Other,,,855,2018,No,Low,No,CCA as well as CCS
Anglo American,Anglo American,Copper,Chile,Los Bronces,-33.223056,-70.343889,,1950,Yes,Downstream,,50,35,2019,Yes,High,Yes,"Yes, 2015-2019"
Anglo American,Anglo American,Copper,Chile,Los Bronces,-33.123889,-70.732222,Active,1994,Yes,Downstream,,480,700,2018,Yes,High,No,"Yes, 2015-2019"
Anglo American,Anglo American,Copper,Chile,El Soldado,-32.664167,-71.147222,,1960,Yes,Landform,25,3.3,3.3,2018,No,High,Yes,No
Anglo American,Anglo American,Copper,Chile,El Soldado,-32.669444,-71.144167,Inactive,1965,Yes,Downstream,20,1,1,2018,No,Moderate,No,No
Anglo American,Anglo American,Copper,Chile,El Soldado,-32.658611,-71.165278,Inactive,1970,Yes,Downstream,65,53,53,2018,Yes,High,No,"Main wall 2015, back"
Anglo American,Anglo American,Copper,Chile,El Soldado,-32.640556,-71.162222,Active,1993,Yes,Centreline,91,130,160,2018,Yes,,Yes,"Yes, 2015, 2018"
Anglo American,Anglo American,Copper,Chile,Chagres,-32.802778,-70.955,Active,1960,Yes,Dry Stack,25,,"861,435 1,0",2018,Yes,Low,No,
Anglo American,Anglo American,Iron Ore,Brazil,Minas Rio,-18.860833,-43.404722,Active,2014,Yes,Downstream,41.5,43,aprox. 135(2024),2018,Yes,High,No,"Yes, 2016"
